"cus_id","comment_time","comment_star","cus_comment","shopID"
"FionaL711","2024-02-13 17:41","sml-str45","被朋友圈过度渲染 去打卡了以后也算是一睹庐山真面目。
过来拍照的游客居多，都是冲着爱丽丝森林来。乌央央一大片在排队打卡 大家吃什么已经不重要了。下午两点光线最好 四点关水雾和灯光，等我出去要拍照的时候都关了，但拍照的人还没散去
重在体验吧 来过就好


		                            收起评价","H2uy5uLSa9sYbcIi"
"sexybella127","2024-01-22 00:17","sml-str50","来了清迈那么多次，第一次来爱丽丝吃晚饭，本来下午茶的，每次都客满，然后就一直错过，今天来之前特地定了位置，我们10个人坐在里面，不冷不热挺舒服的

[薄荷]环境：
非常不错，适合打卡拍照，但是晚上没有白天好拍照
[服务铃]服务：
服务员很不错，随叫随到
「烤猪颈肉」「培根奶油意大利面」「冬阴功汤火锅」「炸鸡翅」「purple latte」「德国烤猪蹄」「沙爹肉串」「广东菜心」「黑松露奶油球」「炭烤大虾」「炸鲈鱼」「西瓜球」
味道真的不错，而且餐厅非常干净，整洁还会再来的，下次下午茶来


		                            收起评价","H2uy5uLSa9sYbcIi"
"淼淼很Nice","2024-02-07 20:55","sml-str50","在这里，我都爱上了自己
这里太美，绿野仙踪 热带雨林的既视感
心情好拍照真的怎么拍都好看
建议错过高峰期，中午～下午3点前人比较多。

这家店很大，分4个用餐区，中间有一片很大的取景地，老板品味绝对在线

我们3个女孩点了很多菜（照片只发了部分）
菜单上有中文➕图片每样菜都很好吃不会踩雷 ，
我们每人点了2份饮料 一共也就花了四百多RMB
太值了，必须来呀！
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"穆易","2023-12-30 11:33","sml-str45","环境真心不错，森系氛围非常出片，拍照人很多11点多来（11:00开门）已经很多人排队拍照了，全都是小仙女‍♀️打扮的美美哒。好多小姐姐带了衣服来卫生间换，为了拍仙女照（后悔自己没带哈哈）为了拔草来拍照的没在这边用餐，只点了饮品。整体比外面其它地方偏贵一点（对比本地物价来说）但折算人民币来说还是不贵的。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"森森和狗蛋","2024-02-18 19:06","sml-str50","Chom Cafe & Restaurant真心不错！这地方太适合拍照了，每次来都能看到一堆人在这里凹造型。店里像个小型植物园，绿意盎然，让人感觉特别舒服。
这里的甜点和苏打水真的挺好喝的，每次来都要点上几样尝尝。甜点口感细腻，甜而不腻；苏打水清爽解渴，特别适合夏天。
虽然人气很旺，但服务员态度挺好的，上菜速度也挺快。如果你来清迈想找个拍照好看、东西好吃的地方，Chom Cafe & Restaurant肯定是个不错的选择！
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"瞎操心的咖啡师","2024-02-08 14:22","sml-str40","估计是清迈最红的咖啡馆之一
其实算是餐厅 
主打热带雨林的环境
确实景色确实漂亮到极点
消费也不算贵
但缺点就是人太多太多
很嘈杂 想来放空自己的就别想了
推荐来这里用餐
（我没点吃的 不知道味道怎么样，饮品很一般）
座位之间非常近
适合来体验一下 照相完 坐坐就走
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"Shawn","2024-02-10 15:59","sml-str45","非常惬意的咖啡厅，很大的院子，里面还有小瀑布和溪流，喝咖啡之余还能拍照，性价比也很高，清迈的咖啡厅真的好赞","H2uy5uLSa9sYbcIi"
"hiiiiiiij","2024-01-24 20:46","sml-str50","超级推荐的一家餐厅
虽然网红拍的照片和我们的照片不一样
因为正常人是不能够踩在苔藓上的
所以拍出来的效果会有不同
但是除此之外，他的出品还可以
☕️推荐dark night
有个两色面包也很好吃
斑斓味和蝶豆花口味
因为比较远
但又在机场附近15分钟车程
建议
作为清迈机场第一站或者最后一站打卡
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"求求你不要再吃了","2024-01-03 21:29","sml-str50","去的时候已经下午两点多了
门口的小姐姐会根据人数和吃饭还是喝饮料安排区域 很顺畅体验感不错 店铺一共有zoom1-4四个区域 面积很大 绿化超级好 拍照很出片
当天的第一顿饭 两个人饿极了点了六个菜
「河虾意面」虾还蛮大只的 冬阴功的 味道不错
「蟹肉炒饭」本身味道一般 配上坚果有加分
「清炒空心菜」蛮好吃的
「辣酱三文鱼沙拉」三文鱼蛮少的只有几坨 但是味道很好 酸酸辣辣
「芒果糯米饭」好吃 脆米很加分
「蓝莓奶昔」要了少糖还是有点甜
「橘子汁」很好喝像是耙耙柑榨的
点的时候没细看价格感觉应该在500左右 结果用zfb加了手续费才付了300+ 也太便宜了 性价比超高 推荐
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"陈澄陈澄","2024-01-30 15:14","sml-str40","感觉在郊区，旅途有点远。

[薄荷]环境:
这个不用多说，很多人就是冲着环境来拍照的。特别是女生，当工具人的男友们，辛苦了

[服务铃]服务:
我到的时候，需要排队三桌。有专门的排队等候区，有椅子坐。

「竹炭咖啡」白色杯里的味道大概是带甜味的牛奶，黑色杯里大概是巧克力液。整体味道，还行。可以尝尝。

「月光MOON LIGHT」这个，我觉得好看，但不好喝。味道大概是微甜+微酸+山楂味（或是什么水果味）。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"side7边七","2024-02-09 15:41","sml-str45","超级超级美！虽然是下午光线不算太好的时候来的，但也不影响手机一样出片！找一处光、大笑就可以啦。人比较多，可能需要等位，我们1点半过来稍微等了5、6分钟，里面空间还是很大的
食物也比想象中好吃！这边的river prawn真的怎么做怎么好吃
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"长颈鹿的眼眸","2024-01-19 23:58","sml-str50","水汽朦胧 配合着光影
感觉像穿梭在爱丽丝梦游仙境
如果穿着白裙在这里拍照真的很仙
晚上的树林也很好看
有种绿野仙踪的感觉
咖啡馆空间很大 分了空调区和无空调区
打开窗能看到外面的大草坪
有牛群在吃草 让人感觉非常舒适
小tips：饮料和甜品都不好吃，慎点，尤其是香蕉椰奶甜到齁
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"喜欢拉小提琴的东里秀杰","2024-02-02 05:44","sml-str45","步入爱丽丝梦游仙境

午餐后时间到达，依旧需要等位，所幸，没有等待太久，大约20分钟左右。

外景实在太美了，好多小姐姐带着兵器来好一番拍拍。

美食的选项也很丰富，可惜我们是吃了午餐过来的，就品尝一下蛋糕和饮料吧。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"samjune","2024-01-11 18:15","sml-str50","这家咖啡餐厅在清迈机场的南面，傍边是邓丽君唱片工作室，从城里过来打车要20分钟，大概107泰铢左右。这里主打一个环境好，占地面积也大，仿如仙境，丛林流水，这里拍照片的人很多，餐厅的美食也不错，可以有咖啡，水果和甜品，也有波龙大虾和各种简餐，能够在这里听听音乐，看看风景，拍拍照，十分惬意放松，值得推荐。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"洞庭赊月色","2023-11-22 14:28","sml-str40","在各个旅游频道上非常出名的网红餐厅。
来了以后发现环境是这家餐厅最大的特色，偌大的庭院里面有很美的景观植物装饰，不断喷着的水雾营造了一种飘飘欲仙的意境。
餐饮方面在这种独特的绿色环境下就显得不是那么令人印象深刻了，点了一个招牌的jelly smoothie（桂圆桃胶），味道还是很不错的。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"若湖","2024-02-21 20:07","sml-str50","一家清迈的网红咖啡厅，因为院子里的布景很唯美，仙气飘飘的，吸引了很多小姐姐来这里拍照打卡。我们从宁曼路过来，晚上要去夜间动物园，正好在这里解决午餐。菜色和味道都不错，尤其意面我们叫了两份通通吃光。在等菜的时候也去照了美照，享受短暂的闲暇时光。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"lily67","2024-02-21 16:24","sml-str50","真的超级好吃，吐司面包拉丝，排队的人挺多的，我们是下午2点多过去的，因为当时写字楼没有下班，所以商场人不多。还不是排长队，排了大概20分钟吧。尤其咖啡比较好喝。甜甜的。是我喜欢喝的那种没有太苦的感觉。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"李坏坏lison","2024-02-21 12:01","sml-str50","美到爆炸的一家咖啡厅，由于最近养热植上头所以必须来打卡，很久没有让自己端起相机就按快门内种快感，这次出来真的重拾这种感觉，这家店是必比登推荐，但由于热植跟湿度多的原因多少会有蚊虫，可以理解，服务很好，还是米其林内种级别..跟同事一起点了一堆.两人狂吃之旅..还是废话不多说，直接看图吧
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"Nakisha莎莎","2024-02-19 23:07","sml-str40","人气非常旺，必来打卡之处。下午4点来还需等位，服务非常好。咖啡中规中矩，有个蟹肉卷很好吃。几乎都是来拍照的，场景还是可以。","H2uy5uLSa9sYbcIi"
"鱼油泼小鲍鱼","2024-02-18 13:32","sml-str50","环境很美，菜品也精致，好吃。中文沟通，服务热情。整体是清迈的天花板！哈哈！全是中国人，还有拍婚纱的","H2uy5uLSa9sYbcIi"
"牛奶里面没有牛","2024-02-17 15:02","sml-str50","我们是看大众来的，超级美的地方。果敢没有失望。来的时候正好饭点。还等了一会了。点了很多菜，性价比很好。在这样的环境吃饭去，拍照都是绝美啊。服务员也很热情，但是没有哦几个会讲英语。总体都很OK！强烈推荐","H2uy5uLSa9sYbcIi"
"T.mine田","2024-02-16 20:07","sml-str45","好吃 好玩好看
东西很好吃 性价比很高
风景也好 很好出片 就是要排队
我们去的时候下午2点多 排队半小时
人很多 建议穿浅色衣服 很好出片","H2uy5uLSa9sYbcIi"
"Earlgreen","2024-02-12 20:04","sml-str45","所见即所得，值得一来，甜品味道也不错。","H2uy5uLSa9sYbcIi"
"liuchunxiang0863","2024-02-11 13:35","sml-str50","环境优美，泰奶好喝，黄咖喱炒海鲜太好吃了！炸鱼也特别棒！就是冬阴功汤感觉咸了点。","H2uy5uLSa9sYbcIi"
"杨蕊阳TTY","2024-02-10 23:46","sml-str45","爱丽丝梦游仙境打卡，下午茶吃成了晚餐，甜品味道还是不错滴！关键是环境很美哦","H2uy5uLSa9sYbcIi"
"moonpapa","2024-02-10 21:13","sml-str50","简直是仙境，性价比超级高，一杯份量很足的酸奶奶昔才10几块钱，点了很多菜一共好像100多人民币。
每个角落都可以随便出片，但是人有点多，最佳位置还要等着别人拍完了，才能去拍。位置在清迈机场附近，这家比清莱那家看着仙多了
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"louisa813","2024-02-09 14:19","sml-str35","食物可口，当地人也在等位。环境优美，推荐去！","H2uy5uLSa9sYbcIi"
"锦鲤本鲤","2024-02-08 19:21","sml-str50","[薄荷]环境：环境真的太美了，放佛置身仙境，雾气缭绕的，阳光洒下来，原来这就是丁达尔效应！

[服务铃]服务：有中文的服务员！

「烤猪颈肉」比较好吃
「清炒丝瓜苗」一般
有个烤排骨很好吃，泰奶也好喝！推荐推荐


		                            收起评价","H2uy5uLSa9sYbcIi"
"Molly","2024-02-06 23:33","sml-str50","奔着拍照打卡去的，景色确实很美，爱丽丝梦游仙境，随手拍都是大片，呆在里面都不想离开，当天人不算很多，没有等太久，就是拍照的人，人很扎堆，其他都很好。菜品也还可以。就是位置离酒店有点远，其他都很不错，非常适合喜欢拍照的集美们，赶紧冲吧。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"Grace_1212","2024-02-05 13:55","sml-str50","如咖啡厅的名字一般，像个仙境一样美丽，阳光透过树枝撒下来，就是梦幻的丁达尔效应。咖啡厅的冰饮和蛋糕也非常好吃，值得打卡。","H2uy5uLSa9sYbcIi"
"口乞货麻麻","2024-02-03 23:07","sml-str50","仙气飘飘的网红店，虽说是人造景观，但整个氛围拿捏的相当好，花草绿植，小溪潺潺，鱼儿悠游，在这样的环境中用餐，真是太惬意了菜品也没有踩雷，都很好吃，可以说是美貌与实力兼具的一家餐厅吧！值得去打卡哦！","H2uy5uLSa9sYbcIi"
"匿名用户","2024-02-03 00:34","sml-str50","环境确实不错！上午十一点半左右到的，到的时候还需要排队等位，所幸没有等很久。点的冬阴功意面第一口真好吃，吃到后面感觉太咸了，其他吃的都还不错。院子里的餐桌摆的挺紧凑的，坐在后面那桌有个台湾妹子说话实在声音太大了，显得有点聒噪，实在受不了吃完东西就赶紧撤了。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"杨十一","2024-02-03
  更新于2024-02-09 21:40","sml-str40","环境确实还可以，吃的也还行！点了一个1000猪的烤虾，我觉得不好吃，大家如果看见那个不要点，还有大蒜烤面包还挺好吃的，可以进去拍照的在后面因为环境很好有很多人拍照，尤其还有人请了跟拍没完没了的拍够头疼的！
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"May梅梅","2024-02-01 00:36","sml-str35","真的是网红店不能来，网红只是为了拍照，其实也不在意菜品什么的，如果特意跑一趟真的没必要，首先环境虽然不错，但是并不大，也没啥好拍的，菜品种类少且价格贵，味道也没很特别，无功无过，除非离得近，不然跑那么远吃饭真的没啥意思！
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"时间旅行佳","2024-01-30 07:24","sml-str45","清迈的绿野仙踪餐厅
落地清迈的第一天朋友就带我去的这家网红餐厅
环境真的太棒了 怪不得大家都纷纷来打卡
菜品过得去
那杯桂圆奶昔惊艳 非常浓郁 好喝
主打泰餐和西餐 服务也很好","H2uy5uLSa9sYbcIi"
"Capricornus_LEE","2024-01-28 15:59","sml-str50","探店/CHOM
今天來打卡这家「Chom Cafe and Restaurant」。它家的环境是在太出片啦，很有绿野仙踪的意境，随便拍拍都很好看!來打卡的人也是很多。点的是「草莓沙冰」冰美式和焦糖蛋糕，味道也挺好吃的


		                            收起评价","H2uy5uLSa9sYbcIi"
"Jannly_Baby","2024-01-27 20:08","sml-str50","下飞机还没放下行李直奔爱丽丝梦游仙境餐厅感受下午茶氛围的夏季感。绿野仙踪，流水，气雾️，小桥，走进去一下的觉得到了仙境不愧起了这个名字，所以慕名来打卡的本地人和旅游人都会来打卡，拍照，吃饭。我们一家人点了椰子，夏天没有冰椰子怎么行。


		                            收起评价","H2uy5uLSa9sYbcIi"
"钢琴上的舞者","2024-01-26 17:30","sml-str25","网红店除了一点森林景色，其他都很一般，服务也很差。第一个比如点饮料，蝶豆花咖啡不要冰块，上来只有半杯，超级无语。好歹橘子汁不要冰比我想象多一点。蛋糕味道还行，没什么惊艳。外面花园没太阳拍出来很一般。另外说结账要叫半天，用现金结果收银员忘记找零，还要提醒。总之感受性价比很低。2杯饮料一个蛋糕350泰铢。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"和影子跳舞的猫","2024-01-24 23:18","sml-str50","朋友带过来打卡的网红咖啡馆，人很多，各种拍拍拍～

有停车场，有引导人员，泰国基本都是免费停车，门口马路边是红色线，不能停车喔。

由于吃过了午餐，只是过来打卡，所以只点了咖啡和甜品，蓝莓那款超级好吃，没那么齁甜


		                            收起评价","H2uy5uLSa9sYbcIi"
"美食嘎","2024-01-24 19:21","sml-str50","朋友开车带着我们来打卡这家餐厅
环境很有特点
仙气飘飘的感觉
很多来打卡的漂亮小姐姐各种拍照
环境好菜品也是不错滴
豆腐超级推荐地道口味下饭菜
菜品非常丰富
很多选择总能选到适合自己的
鸡腿玛莎曼咖喱汤配饼挺有特点
椰子蛋糕也是非常推荐
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"匿名用户","2024-01-24 17:16","sml-str45","主要是奔着拍照去的，甜品没怎么吃出来差异感
但环境拍照太好看了","H2uy5uLSa9sYbcIi"
"Aee....","2024-01-22 23:32","sml-str50","清迈一个特火的网红店环境特别好
菜品甜品饮料都不错","H2uy5uLSa9sYbcIi"
"鲜虾炖萝卜","2024-01-21 22:36","sml-str45","[薄荷]环境：跟着推荐过来的，直接打的告诉小巴车到这个地方，也很方便。「竹炭咖啡」所有饮品的颜值都很高，味道也很不错，小甜品口感也不腻。
[薄荷]环境：环境真的太美了，打卡拍照都很出片，发到朋友圈的视频，都以为我的是假背景呢，一定要穿的美美的，好看
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"Stephen","2024-01-21
  更新于2024-01-28 16:09","sml-str50","网红餐厅一般很少评论，这家的确不错。本来看点评有人说难吃，只是想带着几人去拍照打卡。结果，吃的满意，拍照大家也很满意。不多说上图","H2uy5uLSa9sYbcIi"
"请弄七逆光","2024-01-19 16:11","sml-str50","落地后来这里打卡网红咖啡店，水果系列的冰沙都很甜哈，仙气飘飘的氛围很赞！","H2uy5uLSa9sYbcIi"
"绕地球的毛豆君","2024-01-18 14:12","sml-str45","服务很棒棒，一直会有人指引，上菜速度超快，两个人消费一百多软妹币，两份咖啡两只甜品，相对国内的话算适中
从古城打grab过来120株左右，很好找
咱不会拍，不然会更出片
场地很大，不用担心坐不上^ _ ^个人觉得还是值得来打卡的
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"xyiverson","2024-01-16 23:06","sml-str45","跟朋友一起吃的，忘记拍照了，注意力主要在聊天上，吃的也没太留意，整体感觉还可以吧","H2uy5uLSa9sYbcIi"
"可口可乐C","2024-01-16 19:11","sml-str50","仙境～太漂亮了～处处美景，而且饮料和蛋糕的味道也很不错！","H2uy5uLSa9sYbcIi"
"海上玲珑","2024-01-16 15:00","sml-str45","网红餐厅，第二次打卡。上次和了饮料和小食，这次来吃午饭。点了咖喱鸡腿配饼，椰汁鱼。两个都很好吃咖喱鸡里面放了桂皮，八角。味道浓郁，配上脆饼味道美极了。就是感觉有点辣。椰汁鱼里面料实在，鱼块很多，性价比高。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"oOcindy_yu","2024-01-16 08:17","sml-str45","这家餐厅占地挺大，小花园是营销特色，花园弄的很干净加上水雾的加持确实像在梦境里一样，出片效果是一级棒的

要在这里吃饭那可能有点失望，就点了蛋糕和饮品，都没有喝完，有点腻

老公不是专业摄影的，但随手一拍都很美，拍照累了餐厅小歇还算可以的～

需要打车前往噢
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"小麦麦麦","2024-01-14 13:21","sml-str15","这是一家只合适拍照的网红店。
在清迈，99%的网红店都拥有极高的出片率。但，这家是我在清迈七年吃过的最难吃的餐厅，指定陪同被迫吃了三次，菜剩下一大半，连娃都塞不进……简直奇观。要知道清迈难吃的餐厅简直接近0，很多虽然说不上好吃，但起码就是一般。
拍照是极佳的，扩展后更美。
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"阿文","2024-01-14 00:06","sml-str40","环境不错，是咖啡和正餐一体的餐厅。门口和院子里布置了很多水雾机，绿植和小幅水景在水雾机的加持下，仙里仙气的，吸引了很多不同国籍的小姐姐驻足在院子里打卡。","H2uy5uLSa9sYbcIi"
"土豆妮","2024-01-10 22:17","sml-str45","花园很大，很漂亮，菜品也很不错，
「冬阴功汤火锅」好吃","H2uy5uLSa9sYbcIi"
"在在豆","2024-01-08 20:50","sml-str50","清迈本地很有名气的米其林餐厅，感觉随便哪道菜都很好吃，而且颜值在线，肘子和虾推荐，冬阴随便点不会踩雷
饱餐一顿之后我们就开始了拍拍拍模式，这里好像爱丽丝的绿野仙踪一样，仿佛坠入了人间仙境，建议穿着白色的裙子来，简直不要太好拍


		                            收起评价","H2uy5uLSa9sYbcIi"
"唐先生","2024-01-08 17:13","sml-str50","卷心菜意外好吃，没有北京吃的那么多纤维。
「冬阴功意面」冬阴功的酱汁意面，很还原冬阴功，整体是美味的 对于我个人口味来说稍微有一点点辣，吃完了有点烧胃。
「奶茶」竟然是不甜的，我喜欢。
「烤猪颈肉」就正常水平，没觉得很特别。

[服务铃]服务：
服务生态度都很好，就是会英文的有限，上菜有些慢，感觉不是高峰期，但是菜是吃完一个上一个


		                            收起评价","H2uy5uLSa9sYbcIi"
"酒神贰捌","2024-01-07 23:07","sml-str50","是误入仙境的一天
这家店的庭院环境真的没的说，真的太漂亮了，水雾加上阳光形成了丁达尔效应，在鲜活的绿色之中跳跃、起舞，有一种进入其中就会变成精灵的感觉

店分为咖啡店和餐厅，去的时候餐厅需要等位，但是咖啡店有位可以直接点单
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"Yoyo爱吃好吃的","2024-01-07 01:41","sml-str45","离市区有点距离，店里饮品不错，没有因为网红所以踩雷，店不大，很适合拍照打卡，我们没在里面吃东西，拍了会照片我们就走了，店旁边有家鱼丸面好吃的惊为天人.大家可以去试试，人很多，大多都是打卡拍照的，所以建议早点去
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
"燕子在泰国","2024-01-06 23:42","sml-str35","口味没有很特别的地方
就是新式泰菜口味
疫情期间去的了
那时候没有游客
人很少
带家里老人孩子去转转
小花园很适合拍照
如果为了拍照而来的话可以吃个下午茶
点杯饮料➕蛋糕
没必要饭点过来（饭点人多，拍照不方便）

清迈Chom咖啡店是一家充满艺术氛围的网红店，环境舒适宜人，装饰别具匠心。店内提供各种精致美味的咖啡和甜点，口感浓郁且香气扑鼻。服务员热情友好，为顾客提供细致周到的服务。店内还有许多特色摄影点，非常适合拍照留念。唯一不足之处可能是价格稍高，但总体来说，这里是享受咖啡文化和放松身心的理想去处。强烈推荐给喜爱品味与艺术的朋友们！
                            

		                            收起评价","H2uy5uLSa9sYbcIi"
